order,select,Variable,Type,Len,Format,Definition,,,
1,1,individual_id_str,Char,16,$16.00 ,Customer ID,,,
2,0,arc,Num,8,,"DO NOT USE.
These are used to select records for the sample. They shouldn't be used as dependent variables.",,,
3,0,arc_ticket,Num,8,,,,,
4,0,vtx,Num,8,,,,,
5,0,tmc,Num,8,,,,,
6,0,pac,Num,8,,,,,
7,0,trn,Num,8,,,,,
8,0,fan,Num,8,,,,,
9,0,nel,Num,8,,,,,
10,0,vtx_flash,Num,8,,,,,
11,0,tmc_resale,Num,8,,,,,
12,0,agg_id,Num,8,11,,,,
13,0,team_only,Num,8,11,,,,
14,0,src_tkx,Char,4,$4.00 ,,,,
15,1,has_email,Num,8,11,Indicator = 1 if customer has an email address,,,
16,1,tenure_arc,Num,8,6,Fan came from Archtics (tickets),These are the differet sources a fan can come to the NBA from. Each variables indicates if a Fan was present in one of these sources.  These are not mutually exclusive.,,
17,1,tenure_tmc,Num,8,6,Fan came from TicketMaster (tickets),,,
18,1,tenure_tmc_resale,Num,8,6,Fan came from TicketMaster Resale (tickets),,,
19,1,tenure_pac,Num,8,6,Fan came from Paciolan (tickets),,,
20,1,tenure_vtx,Num,8,6,Fan came from Veritix (tickets),,,
21,1,tenure_vtx_flash,Num,8,6,Fan came from Veritix Flash (tickets),,,
22,1,tenure_trn,Num,8,6,Fan came from Turner (email),,,
23,1,tenure_fan,Num,8,6,Fan came from Fanatics (retail),,,
24,1,tenure_nel,Num,8,6,Fan came from Neulion (League Pass),,,
25,1,days_since_most_recent_email,Num,8,11,"Email Activity: Measures how many or how long since a customer received, opened, clicked on an NBA Email",,,
26,1,days_since_most_recent_open,Num,8,11,,,,
27,1,days_since_most_recent_click,Num,8,11,,,,
28,1,tot_emails_30_days_prior,Num,8,11,,,,
29,1,tot_emails_60_days_prior,Num,8,11,,,,
30,1,tot_emails_90_days_prior,Num,8,11,,,,
31,1,tot_opens_30_days_prior,Num,8,11,,,,
32,1,tot_opens_60_days_prior,Num,8,11,,,,
33,1,tot_opens_90_days_prior,Num,8,11,,,,
34,1,tot_clicks_30_days_prior,Num,8,11,,,,
35,1,tot_clicks_60_days_prior,Num,8,11,,,,
36,1,tot_clicks_90_days_prior,Num,8,11,,,,
37,1,tot_emails_12_mon_prior,Num,8,11,,,,
38,1,tot_emails_24_mon_prior,Num,8,11,,,,
39,1,tot_emails_36_mon_prior,Num,8,11,,,,
40,1,tot_opens_12_mon_prior,Num,8,11,,,,
41,1,tot_opens_24_mon_prior,Num,8,11,,,,
42,1,tot_opens_36_mon_prior,Num,8,11,,,,
43,1,tot_clicks_12_mon_prior,Num,8,11,,,,
44,1,tot_clicks_24_mon_prior,Num,8,11,,,,
45,1,tot_clicks_36_mon_prior,Num,8,11,,,,
46,1,tot_emails_36_mon_prior1,Num,8,11,"Re-coded Email Variables: 
These are all re-coded versions of the corresponding variables where missing values have been replaced with 0 ",,,
47,1,tot_opens_36_mon_prior1,Num,8,11,,,,
48,1,tot_clicks_36_mon_prior1,Num,8,11,,,,
