individual_id_new,days_since_most_recent_email,days_since_most_recent_open,days_since_most_recent_click,tot_emails_30_days_prior,tot_emails_60_days_prior,tot_emails_90_days_prior,tot_emails_12_mon_prior,tot_emails_24_mon_prior,tot_emails_36_mon_prior,ever_emailed,email_domain_group,ind_fantasy_1y,ind_nbadaily_90d,ind_nbastore_90d,ind_marketing_allstar_1y,ind_events_allstar_1y,ind_nbateamticketoffers_1y,age,age_group,gender,closest_arena_distance,tenure,pre_total_ticket_amt_l12,pre_total_tickets_l12,pre_regular_season_tix,pre_playoffs_tix,pre_tickets_ever,fan_total_amt_l12,fan_total_amt_l24,fan_total_amt_l36,fan_mths_since_last_purch,fan_purch_ever,fan_purch_visa_ind,fan_purch_mc_ind,fan_purch_amex_ind,fan_purch_disc_ind,fan_purch_giftcard_ind,fan_purch_paypal_ind,fan_purch_web_ind,fan_purch_mobile_ind,fan_fav_team,post_retail_response,lp_subscriber,lp_purch_amex_ind,lp_purch_mc_ind,lp_purch_visa_ind,lp_purch_disc_ind,lp_purch_paypal_ind,lp_broadband_plan,lp_auto_renew,arenadis,emaildays,emailopendays,closeteam,pre_total_tickets_cat,tot_emails_90dprior_cat,tot_opens_90dprior_cat,fan_totalamtl24m_cat,mths_since_purch_cat,pre_total_tickets,fan_pmt,fancardcat
1000000102436,1041,1041,1041,0,0,0,0,0,3,1,Yahoo,0,0,0,0,0,0,31,30s,M,121.84399566,123,0,0,0,0,0,0,0,0,62,1,1,0,0,0,0,0,1,0,MAVS,0,0,0,0,0,0,0,0,0,3mt100lt200,5mt360,5mt360,Mavericks,0none,0none,0none,0none,5mt24,0,100000,VISAonly
1000000210667,71,,,0,0,2,6,25,71,1,AOL,1,0,0,0,0,1,35,30s,M,64.62457134,140,0,0,0,0,0,0,0,0,56,1,0,1,0,0,0,0,1,0,HEAT,0,0,0,0,0,0,0,0,0,2mt30lt100,4mt60lt360,7unknown,Knicks,0none,1gte1lte4,0none,0none,5mt24,0,10000,MConly
1000000450710,6,,,1,1,1,1,2,2,1,AOL,0,0,0,0,0,0,30,30s,M,4.1009810871,165,0,0,0,0,0,0,0,0,37,1,0,1,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,1lt30,1lt7,7unknown,Mavericks,0none,1gte1lte4,0none,0none,5mt24,0,10001,CombPmt
1000000839841,3,3,10,30,67,108,285,1191,2265,1,Other,0,1,0,0,0,0,49,40s,M,17.362157504,196,0,0,0,0,1,334.91,494.81,520.76,4,1,1,1,1,0,0,0,1,1,76ERS,1,0,0,0,0,0,0,0,0,1lt30,1lt7,1lt7,Knicks,0none,3gt12,3gt12,2gt50lte10,2mt3lt6,0,111000,CombPmt
1000001075322,22,,,1,1,1,1,6,32,1,AOL,0,0,0,0,0,0,29,20s,M,92.708988995,131,0,0,0,0,0,0,27.95,27.95,21,1,1,0,0,0,1,0,1,0,LAKERS,1,0,0,0,0,0,0,0,0,2mt30lt100,2mt7lt30,7unknown,Wizards,0none,1gte1lte4,0none,1gt0lte50,4mt12lt24,0,100010,CombPmt
1000001201022,184,184,670,0,0,0,1,176,278,1,org,0,0,0,0,0,0,47,40s,M,26.851291375,54,2536,40,1,1,1,0,0,0,54,1,0,0,1,0,1,0,1,0,MAVS,0,0,0,0,0,0,0,0,0,1lt30,4mt60lt360,4mt60lt360,Mavericks,4gt12,0none,0none,0none,5mt24,192,1010,CombPmt
1000001209190,48,374,404,0,1,1,127,752,1225,1,net,0,0,0,0,0,1,39,30s,M,51.178639258,165,0,0,0,0,1,149.98,273.68,273.68,8,1,0,0,1,0,0,1,1,1,GSW,1,0,0,0,0,0,0,0,0,2mt30lt100,3mt30lt60,5mt360,Knicks,0none,1gte1lte4,0none,2gt50lte10,3mt6lt12,0,1001,CombPmt
1000001286513,301,301,532,0,0,0,1,82,84,1,Gmail,0,0,0,0,0,0,27,20s,M,23.1832074,134,0,0,0,0,0,0,21.95,21.95,22,1,1,0,0,0,0,0,1,0,MAVS,1,0,0,0,0,0,0,0,0,1lt30,4mt60lt360,4mt60lt360,Mavericks,0none,0none,0none,1gt0lte50,4mt12lt24,0,100000,VISAonly
1000001341841,3,59,102,16,66,107,454,960,1040,1,Gmail,1,1,1,1,0,1,40,40s,M,3.5866520415,173,0,0,0,0,0,125.95,125.95,125.95,2,1,1,1,0,0,0,0,1,1,CAVS,1,0,0,0,0,0,0,0,0,1lt30,1lt7,3mt30lt60,Knicks,0none,3gt12,1gte1lte4,2gt50lte10,1lt3,0,110000,CombPmt
1000001631893,105,104,445,0,0,0,3,123,222,1,AOL,0,0,0,0,0,0,58,50s,M,76.030689844,127,0,0,0,0,0,9.99,537.62,1312.09,5,1,1,0,0,0,0,0,1,0,NA,1,0,0,0,0,0,0,0,0,2mt30lt100,4mt60lt360,4mt60lt360,76ers,0none,0none,0none,2gt50lte10,2mt3lt6,0,100000,VISAonly
1000001985468,66,63,425,0,0,1,4,262,417,1,Hotmail,0,0,0,0,0,1,31,30s,M,20.825071655,123,0,0,1,1,1,0,23.95,103.39,15,1,0,0,1,0,0,1,1,0,NA,1,1,0,0,0,0,1,1,0,1lt30,4mt60lt360,4mt60lt360,Rockets,1gte1lte4,1gte1lte4,1gte1lte4,1gt0lte50,4mt12lt24,4,1001,CombPmt
1000001987392,220,227,256,0,0,0,73,99,99,1,Gmail,0,0,0,0,0,0,57,50s,M,16.739731788,172,0,0,0,0,0,40.98,137.88,137.88,9,1,0,1,0,0,0,0,1,1,KNICKS,1,0,0,0,0,0,0,0,0,1lt30,4mt60lt360,4mt60lt360,Knicks,0none,0none,0none,2gt50lte10,3mt6lt12,0,10000,MConly
1000002012210,400,,,0,0,0,0,2,14,1,Hotmail,0,0,0,0,0,0,38,30s,F,26.935565168,176,0,0,0,0,0,0,0,0,73,1,1,0,0,0,0,0,1,0,LAKERS,0,0,0,0,0,0,0,0,0,1lt30,5mt360,7unknown,Rockets,0none,0none,0none,0none,5mt24,0,100000,VISAonly
1000002024860,55,1020,,0,1,1,38,90,270,1,Gmail,1,0,0,1,0,1,28,20s,M,14.75458818,156,0,0,0,0,0,29.99,29.99,29.99,2,1,0,0,0,0,0,1,0,1,CAVS,0,0,0,0,0,0,0,0,0,1lt30,3mt30lt60,5mt360,Rockets,0none,1gte1lte4,0none,1gt0lte50,1lt3,0,1,PayPal
1000002161180,286,283,596,0,0,0,1,4,10,1,Gmail,0,0,0,0,0,0,33,30s,U,1538.8577456,68,0,0,0,0,0,0,0,107.8,26,1,0,1,0,0,0,0,1,0,SPURS,1,0,0,0,0,0,0,0,0,4mt200,4mt60lt360,4mt60lt360,Blazers,0none,0none,0none,0none,5mt24,0,10000,MConly
1000002394970,3,10,10,24,57,88,183,358,462,1,Yahoo,0,1,0,0,0,0,29,20s,M,5.2138736617,159,6334,126,1,1,1,19.99,19.99,19.99,6,1,1,0,0,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,1lt30,1lt7,2mt7lt30,Spurs,4gt12,3gt12,2gte5lte12,1gt0lte50,2mt3lt6,134,100001,CombPmt
1000002562277,3,10,480,4,9,13,53,273,516,1,Gmail,0,0,0,0,0,1,29,20s,F,11.001494089,134,0,0,0,1,1,0,222.85,222.85,18,1,0,0,0,0,0,1,1,1,SPURS,1,0,0,0,0,0,0,0,0,1lt30,1lt7,2mt7lt30,Spurs,1gte1lte4,3gt12,1gte1lte4,2gt50lte10,4mt12lt24,2,1,PayPal
1000002722300,236,914,1008,0,0,0,3,97,269,1,AOL,0,0,0,0,0,0,74,60+,M,18.802224448,101,0,0,0,0,0,1699.94,1699.94,1819.89,1,1,1,1,0,0,0,1,1,1,BULLS,0,0,0,0,0,0,0,0,0,1lt30,4mt60lt360,5mt360,Spurs,0none,0none,0none,4gt500,1lt3,0,110001,CombPmt
1000002750925,3,59,87,4,9,13,42,92,180,1,AOL,0,0,0,0,0,0,87,60+,F,13.711997036,133,0,0,0,0,0,0,0,0,49,1,0,0,0,1,0,0,1,0,HEAT,0,0,0,0,0,0,0,0,0,1lt30,1lt7,3mt30lt60,Spurs,0none,3gt12,1gte1lte4,0none,5mt24,0,100,DISConly
1000002784022,41,40,1007,0,1,1,1,4,13,1,Gmail,0,0,0,0,0,0,25,20s,U,143.06704534,135,0,0,0,0,0,0,0,0,44,1,1,0,0,0,0,0,1,0,JAZZ,1,0,0,0,0,0,0,0,0,3mt100lt200,3mt30lt60,3mt30lt60,Blazers,0none,1gte1lte4,1gte1lte4,0none,5mt24,0,100000,VISAonly
1000002938000,400,691,1018,0,0,0,0,59,158,1,AOL,0,0,0,0,0,0,49,40s,F,128.46230234,171,0,0,0,0,0,0,0,0,98,1,0,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,3mt100lt200,5mt360,5mt360,Celtics,0none,0none,0none,0none,5mt24,0,10000,MConly
1000003195330,,,,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,29,20s,U,181.0597295,70,0,0,0,0,0,0,0,0,55,1,1,0,0,0,0,1,1,0,LAKERS,0,0,0,0,0,0,0,0,0,3mt100lt200,7unknown,7unknown,Knicks,0none,0none,0none,0none,5mt24,0,100001,CombPmt
1000003283438,374,399,402,0,0,0,0,44,44,1,AOL,0,0,0,0,0,0,25,20s,M,60.631659039,147,0,0,0,0,1,0,47.9,47.9,14,1,1,0,0,0,0,0,1,1,GSW,1,0,0,0,0,0,0,0,0,2mt30lt100,5mt360,5mt360,Raptors,0none,0none,0none,1gt0lte50,4mt12lt24,0,100000,VISAonly
1000003580704,,,,0,0,0,0,0,0,1,net,0,0,0,0,0,0,39,30s,M,103.0192771,92,0,0,0,0,0,0,0,0,87,1,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,3mt100lt200,7unknown,7unknown,Cavaliers,0none,0none,0none,0none,5mt24,0,100000,VISAonly
1000003789107,,,,0,0,0,0,0,0,1,net,0,0,0,0,0,0,24,20s,M,47.827762256,131,0,0,0,0,0,0,0,0,44,1,1,0,0,0,0,0,1,0,HEAT,1,0,0,0,0,0,0,0,0,2mt30lt100,7unknown,7unknown,76ers,0none,0none,0none,0none,5mt24,0,100000,VISAonly
1000004311336,2,1,,1,1,1,1,2,5,1,net,0,0,0,0,0,0,60,60+,M,2.6386367177,165,0,0,1,0,1,29.99,29.99,29.99,1,1,1,0,0,0,0,0,1,0,CAVS,1,0,0,0,0,0,0,0,0,1lt30,1lt7,1lt7,Suns,1gte1lte4,1gte1lte4,1gte1lte4,1gt0lte50,1lt3,2,100000,VISAonly
1000004624645,9,749,,1,1,1,1,103,144,1,Yahoo,0,0,0,0,0,0,36,30s,M,19.530811075,152,126.32,2,1,0,1,0,81.85,216.6,14,1,1,1,0,0,0,0,1,0,NA,1,0,0,0,0,0,0,0,0,1lt30,2mt7lt30,5mt360,Suns,1gte1lte4,1gte1lte4,0none,2gt50lte10,4mt12lt24,2,110000,CombPmt
1000004871935,3,,,4,9,13,15,15,15,1,MSN,0,0,0,0,0,0,48,40s,M,14.542355587,137,115.78,2,1,0,1,45.98,97.91,97.91,9,1,0,1,0,0,0,1,1,1,HEAT,1,0,0,0,0,0,0,0,0,1lt30,1lt7,7unknown,Wizards,1gte1lte4,3gt12,0none,2gt50lte10,3mt6lt12,2,10001,CombPmt
1000004895992,97,,,0,0,0,1,4,17,1,Yahoo,0,0,0,0,0,0,47,40s,M,18.538630643,163,0,0,0,0,0,0,0,0,74,1,0,0,1,0,0,0,1,0,LAKERS,0,0,0,0,0,0,0,0,0,1lt30,4mt60lt360,7unknown,Wizards,0none,0none,0none,0none,5mt24,0,1000,AMEXonly
1000004944529,3,80,235,4,9,13,79,230,279,1,Yahoo,1,0,0,1,0,1,26,20s,M,6.0805825581,134,0,0,0,0,0,69.99,69.99,69.99,8,1,0,1,0,0,0,0,0,1,WIZARDS,0,0,0,0,0,0,0,0,0,1lt30,1lt7,4mt60lt360,Wizards,0none,3gt12,1gte1lte4,2gt50lte10,3mt6lt12,0,10000,MConly
1000005155725,3,195,377,4,9,13,44,330,525,1,Yahoo,0,0,0,0,0,1,29,20s,U,238.6589016,82,0,0,0,0,0,37.97,37.97,78.75,9,1,1,0,0,0,0,0,1,0,BULLS,1,0,0,0,0,0,0,0,0,4mt200,1lt7,4mt60lt360,Suns,0none,3gt12,0none,1gt0lte50,3mt6lt12,0,100000,VISAonly
1000005216626,91,91,821,0,0,0,2,4,12,1,Other,0,0,0,0,0,0,58,50s,M,13.082404755,97,13768.52,360,1,1,1,0,0,0,53,1,0,1,0,0,0,0,1,0,THUNDER,0,0,0,0,0,0,0,0,0,1lt30,4mt60lt360,4mt60lt360,Thunder,4gt12,0none,0none,0none,5mt24,910,10000,MConly
1000005375423,252,787,980,0,0,0,1,49,143,1,Yahoo,0,0,0,0,0,0,43,40s,M,47.229298478,143,0,0,0,0,1,0,0,0,82,1,1,0,0,0,0,0,1,0,LAKERS,0,0,0,0,0,0,0,0,0,2mt30lt100,4mt60lt360,5mt360,Clippers,0none,0none,0none,0none,5mt24,0,100000,VISAonly
1000005829597,400,991,,0,0,0,0,2,76,1,Gmail,0,0,0,0,0,0,40,40s,U,7.3973240316,170,0,0,0,0,1,0,0,0,86,1,0,1,0,0,0,0,1,0,LAKERS,0,0,0,0,0,0,0,0,0,1lt30,5mt360,5mt360,Clippers,0none,0none,0none,0none,5mt24,0,10000,MConly
1000005951055,141,,,0,0,0,1,1,1,1,Hotmail,0,0,0,0,0,0,40,40s,M,74.443083032,135,0,0,0,0,0,0,0,0,96,1,1,0,0,0,0,0,1,0,HEAT,0,0,0,0,0,0,0,0,0,2mt30lt100,4mt60lt360,7unknown,Hornets,0none,0none,0none,0none,5mt24,0,100000,VISAonly
1000006337525,189,,,0,0,0,1,1,1,1,Gmail,0,0,0,0,0,0,33,30s,U,10.255167834,113,0,0,0,0,1,0,0,0,54,1,0,0,1,0,0,0,1,0,KNICKS,0,0,0,0,0,0,0,0,0,1lt30,4mt60lt360,7unknown,Clippers,0none,0none,0none,0none,5mt24,0,1000,AMEXonly
1000006619162,374,378,385,0,0,0,0,191,288,1,net,0,0,0,0,0,0,67,60+,M,10.106523002,174,0,0,0,0,0,64.99,148.87,200.77,7,1,1,0,0,0,0,0,1,0,CLIPPERS,1,0,0,0,0,0,0,0,0,1lt30,5mt360,5mt360,Clippers,0none,0none,0none,2gt50lte10,3mt6lt12,0,100000,VISAonly
1000006803605,,,,0,0,0,0,0,0,0,Gmail,0,0,0,0,0,0,27,20s,U,21.08157111,173,0,0,0,0,0,161.94,571.69,571.69,1,1,1,0,1,0,0,0,1,0,LAKERS,0,0,0,0,0,0,0,0,0,1lt30,6never,6never,Clippers,0none,0none,0none,2gt50lte10,1lt3,0,101000,CombPmt
1000006954908,3,10,497,4,10,14,53,350,470,1,Yahoo,0,0,0,0,0,1,45,40s,M,9.464474188,226,8296.22,174,1,0,1,123.85,123.85,175.75,10,1,1,1,0,0,0,0,1,0,LAKERS,1,0,0,0,0,0,0,0,0,1lt30,1lt7,2mt7lt30,Clippers,4gt12,3gt12,1gte1lte4,2gt50lte10,3mt6lt12,434,110000,CombPmt
